,video_id,title,active_since_days,duration_seconds,total_views,num_chars,num_words,num_punctuation,num_words_uppercase,num_words_lowercase,num_stopwords,avg_word_len,contain_digits,startswith_digits,title_sentiment,likes,dislikes,comments
2812,s4XfPy4ZS68,27 NEW RECIPES FOR ORDINARY DISHES,1095,1200,563052,34,6,0,5,0,1,5.666666666666667,1,1,-0.0568181818181818,7277,756,534
2813,LY2LUybdmbk,25 CHEAP BEAUTY HACKS FOR ANY OCCASION,1095,1200,1190753,38,7,0,6,0,2,5.428571428571429,1,1,0.4,15506,1292,873
2814,-jw7Lr2qN9Q,30 LIFE-CHANGING HACKS FOR WOMEN,1095,789,1001357,32,5,1,4,0,1,6.4,1,1,0.0,11308,1236,716
2815,7ZavA_B-qIQ,20 TOTALLY SURPRISING LIFE HACKS,1095,1200,4154810,32,5,0,4,0,0,6.4,1,1,0.7,24387,3492,1357
2816,4jrSyTNiN_s,18 COOL AND EASY DIY WALL DECOR IDEAS TO TRANSFORM YOUR LIVING SPACE,1095,846,6563650,68,13,0,12,0,3,5.230769230769231,1,1,0.3916666666666666,72413,4786,2074
2817,vRFsAHmfD4w,25 GENIUS HACKS THAT WILL TAKE YOUR LIFE TO A WHOLE NEW LEVEL,1095,960,642858,61,13,0,12,0,5,4.6923076923076925,1,1,0.1681818181818181,5705,752,589
2818,_UQvzxWWsNc,27 SIMPLE HOUSEHOLD HACKS YOU'D WISH YOU'D KNOWN SOONER,1095,960,4788411,55,9,2,8,0,2,6.111111111111111,1,1,0.0,31457,4729,1169
2819,4wnBVHh0SZs,22 BEAUTY HACKS TO LOOK BETTER THAN YOU DID AT 25,1095,1200,4141214,49,11,0,9,0,5,4.454545454545454,1,1,0.5,33937,4221,1529
2820,fJ7gXiyAtXg,20 PRICELESS BEAUTY HACKS FOR A GORGEOUS LOOK,1095,960,1550826,45,8,0,7,0,2,5.625,1,1,0.85,25046,1503,900
2821,w1NzG8ufnyA,18 TOTALLY AMAZING DRAWING TRICKS,1095,960,1984147,33,5,0,4,0,0,6.6,1,1,0.6000000000000001,9541,994,629
2822,ojrlNUyrzcc,23 HACKS FOR YOUR BACK PAIN,1095,582,255286,27,6,0,5,0,2,4.5,1,1,0.0,5049,295,304
2823,nSBb73K5_Y0,17 FUNNY YET SMART IDEAS FOR SCHOOL,1095,1140,1502204,35,7,0,6,0,1,5.0,1,1,0.2321428571428571,12797,1432,844
2824,ufvagIrvgaA,20 CREATIVE IDEAS FOR YOUR BARBIE DOLL,1095,1920,6735526,38,7,0,6,0,2,5.428571428571429,1,1,0.5,36707,6303,0
2825,tOEhqhTMG2s,25 UNBELIEVABLY EASY AND COOL HOUSEHOLD HACKS,1095,900,1719169,45,7,0,6,0,1,6.428571428571429,1,1,0.3916666666666666,16158,1592,784
2826,h80gRKhFl_Y,25 BUDGET CLOTHING HACKS YOU HAVE TO TRY,1095,960,3907181,40,8,0,7,0,3,5.0,1,1,0.0,23594,2963,1052
2827,C9R4zUFCWRU,TOP 100 CLOTHING HACKS AND TRICKS THAT WILL SAVE YOUR MONEY,1095,3420,315352,59,11,0,10,0,4,5.363636363636363,1,0,0.5,3959,494,225
2828,TDzec3soKkI,22 UNFORGETTABLE EXPERIMENTS YOU MUST TRY,1095,900,1209734,41,6,0,5,0,1,6.833333333333333,1,1,0.8,12408,1067,734
2829,esfN3eHmcgI,20 GENIUS PARTY HACKS,1095,850,2113438,21,4,0,3,0,0,5.25,1,1,0.0,17766,2320,989
2830,F7WME9PGc10,20 BRIGHT CRAFTING HACKS THAT WILL CHANGE YOUR LIFE,1095,1500,26983879,51,9,0,8,0,3,5.666666666666667,1,1,0.7000000000000001,173176,25799,7190
2831,gZR6l9fOiJQ,15 AMAZING FOOD CRAFTS THAT WILL BLOW YOUR MIND,1095,728,5190883,47,9,0,8,0,3,5.222222222222222,1,1,0.6000000000000001,24046,3852,1240
2832,GcAniwVswr4,23 GADGET HACKS YOU MUST TRY,1095,900,505314,28,6,0,5,0,1,4.666666666666667,1,1,0.0,6010,587,428
2833,_OjsjmdYk5E,25 ABSOLUTELY INVALUABLE HACKS FEW PEOPLE KNOW OF,1095,900,4564665,49,8,0,7,0,2,6.125,1,1,0.0,20384,3181,997
2834,OS8w0G7Kxlo,30 UNEXPECTED LIFE HACKS THAT ARE ACTUALLY BRILLIANT,1095,900,3454097,52,8,0,7,0,2,6.5,1,1,0.5,21261,2746,967
2835,5OjlA3nlSkU,20 FUNNY PRANKS FOR YOUR FRIENDS,1095,900,336218,32,6,0,5,0,2,5.333333333333333,1,1,0.25,4748,449,497
2836,4SWPNUtX5g0,20 CUTE LITTLE THINGS THAT WILL BRIGHTEN YOUR SCHOOL DAYS,1095,1020,353573,57,10,0,9,0,3,5.7,1,1,0.15625,5511,523,607
2837,tD-aS1rXGhU,20 COOL AND YUMMY IDEAS WITH CANDIES,1095,900,7538402,36,7,0,6,0,2,5.142857142857143,1,1,0.35,58979,5257,1976
2838,6UzcPuaEf04,27 HOUSEHOLD HACKS THAT ARE CRAZY USEFUL,1095,900,7029232,40,7,0,6,0,2,5.714285714285714,1,1,-0.15,42665,6142,1724
2839,6tyyfQQQ-N0,18 BRILLIANT DIYs EVERYONE CAN MAKE,1095,1260,1430658,35,6,0,4,0,1,5.833333333333333,1,1,0.9,18030,1496,964
2840,MHTR87e6mRU,20 HACKS THAT SEEM CRAZY UNTIL YOU ACTUALLY TRY THEM,1095,960,468206,52,10,0,9,0,4,5.2,1,1,-0.3,6908,685,701
2841,A-RZ7R61iLg,22 CRAZY LIFE HACKS THAT ARE TOO HILARIOUS,1095,900,35784091,42,8,0,7,0,3,5.25,1,1,-0.0499999999999999,165325,33663,8252
2842,CTKw0Jt3FXc,21 FUN ART IDEAS FOR YOU TO TRY,1095,775,201066,31,8,0,7,0,3,3.875,1,1,0.3,2766,244,476
2843,9SHfjijgg0M,12 CRAZY IDEAS FOR ANTISTRESS CRAFTS,1095,900,453010,36,6,0,5,0,1,6.0,1,1,-0.6,6278,504,538
2844,RG0aqUU1b3A,25 WAYS TO MAKE YOUR PHOTO OR VIDEO GO VIRAL ON SOCIAL MEDIA,1095,657,6873820,60,13,0,12,0,4,4.615384615384615,1,1,0.0333333333333333,134908,5546,2608
2845,p33gmyT6H2Y,22 GENIUS HACKS EVERY TRAVELER CAN'T LIVE WITHOUT,1095,1200,7268919,49,8,1,7,0,0,6.125,1,1,0.1363636363636363,45546,6071,2518
2846,KeHapG1Gw3I,20 EASY HACKS FOR A HOLLYWOOD SMILE,1095,591,553712,35,7,0,6,0,2,5.0,1,1,0.3666666666666667,8220,703,518
2847,N87xri9UlmA,25 LIFE HACKS YOU'VE BEEN WAITING FOR,1095,960,326450,37,7,1,6,0,3,5.285714285714286,1,1,0.0,4590,450,560
2848,dRZcgebBii4,23 USEFUL THINGS YOU CAN CREATE USING EVERYDAY ITEMS,1095,960,1137758,52,9,0,8,0,2,5.777777777777778,1,1,0.0499999999999999,7258,1145,660
